function, G, width, depth, run, loss, mse, l2
f1, 5, 8, 3, 5, 2.2196192730916664e-05, 2.1445042875711806e-05, 0.014106960035860538
f1, 5, 16, 3, 1, 1.0361816748627461e-05, 7.458927029801998e-06, 0.007906352169811726
f1, 5, 16, 3, 2, 3.7483227970369626e-06, 3.754633326025214e-06, 0.005879760719835758
f1, 5, 16, 3, 3, 1.8326540157431737e-05, 1.9209675883757882e-05, 0.01337322499603033
f1, 5, 16, 3, 4, 4.425743100000545e-06, 4.698718839790672e-06, 0.006445796228945255
f1, 5, 16, 3, 5, 2.988910864587524e-06, 3.359589300089283e-06, 0.005415937397629023
f1, 5, 32, 3, 1, 6.217320333234966e-06, 5.567323569266591e-06, 0.007062486372888088
f1, 5, 32, 3, 2, 2.6223335680697346e-06, 2.695202056202106e-06, 0.004920062143355608
f1, 5, 32, 3, 3, 2.2505448669107864e-06, 2.1991377252561506e-06, 0.004420945420861244
f1, 5, 32, 3, 4, 4.2863857743213885e-06, 4.35818992627901e-06, 0.006196277681738138
f1, 5, 32, 3, 5, 2.3488046281272545e-06, 2.096614252877771e-06, 0.004587802104651928
f1, 5, 64, 3, 1, 1.4978509170759935e-05, 1.8402122805127874e-05, 0.013004794716835022
f1, 5, 64, 3, 2, 1.7510076304461109e-06, 2.0709153432107996e-06, 0.0042234156280756
f1, 5, 64, 3, 3, 1.58705427111272e-06, 2.0018098894070135e-06, 0.004039981868118048
