pde, G, width, depth, pow_basis, pow_res, run, loss, l2
allen-cahn, 5, 2, 1, 2.0, 0.75, 2, 0.022026244550943375, 0.6453582048416138
allen-cahn, 5, 2, 1, 2.0, 0.75, 3, 0.020493891090154648, 0.6205129027366638
allen-cahn, 5, 2, 1, 2.0, 1.0, 1, 0.01934683695435524, 0.5959293842315674
allen-cahn, 5, 2, 1, 2.0, 1.0, 2, 0.020320618525147438, 0.6204087734222412
allen-cahn, 5, 2, 1, 2.0, 1.0, 3, 0.020437972620129585, 0.6209092736244202
allen-cahn, 5, 2, 1, 2.0, 1.25, 1, 0.018875524401664734, 0.5835694074630737
allen-cahn, 5, 2, 1, 2.0, 1.25, 2, 0.020379943773150444, 0.6216800212860107
allen-cahn, 5, 2, 1, 2.0, 1.25, 3, 0.020600933581590652, 0.624301552772522
allen-cahn, 5, 2, 1, 2.0, 1.5, 1, 0.02706591784954071, 0.7124942541122437
allen-cahn, 5, 2, 1, 2.0, 1.5, 2, 0.019296489655971527, 0.615282416343689
allen-cahn, 5, 2, 1, 2.0, 1.5, 3, 0.020507793873548508, 0.6237019896507263
allen-cahn, 5, 2, 1, 2.0, 1.75, 1, 0.0192246176302433, 0.6165717840194702
allen-cahn, 5, 2, 1, 2.0, 1.75, 2, 0.01938663423061371, 0.614689290523529
allen-cahn, 5, 2, 1, 2.0, 1.75, 3, 0.01985359936952591, 0.6186080574989319
allen-cahn, 5, 2, 1, 2.0, 2.0, 1, 0.019238421693444252, 0.6161222457885742
allen-cahn, 5, 2, 1, 2.0, 2.0, 2, 0.01930122636258602, 0.6151888966560364
allen-cahn, 5, 2, 1, 2.0, 2.0, 3, 0.01975722424685955, 0.617434561252594
allen-cahn, 5, 4, 1, 0.0, 0.0, 1, 2.619586229324341, 0.8449596762657166
allen-cahn, 5, 4, 1, 0.0, 0.0, 2, 5.466411590576172, 1.0574692487716675
allen-cahn, 5, 4, 1, 0.0, 0.0, 3, 1.1012836694717407, 1.0712971687316895
allen-cahn, 5, 4, 1, 0.0, 0.25, 1, 2.846073865890503, 0.627326250076294
allen-cahn, 5, 4, 1, 0.0, 0.25, 2, 2.224660873413086, 0.9086032509803772
allen-cahn, 5, 4, 1, 0.0, 0.25, 3, 2.6665561199188232, 1.2379735708236694
allen-cahn, 5, 4, 1, 0.0, 0.5, 1, 4.527954578399658, 0.815263569355011
allen-cahn, 5, 4, 1, 0.0, 0.5, 2, 1.7515554428100586, 0.9253465533256531
