pde, G, width, depth, run, loss, l2
allen-cahn, 5, 32, 4, 2, 0.014160094782710075, 0.640396237373352
allen-cahn, 5, 32, 4, 3, 0.01427283976227045, 0.5207444429397583
allen-cahn, 5, 32, 4, 4, 0.019517160952091217, 0.5971090793609619
allen-cahn, 5, 32, 4, 5, 0.017494939267635345, 0.5567998290061951
allen-cahn, 5, 64, 4, 1, 0.03460049629211426, 0.4703158140182495
allen-cahn, 5, 64, 4, 2, 0.028600767254829407, 0.5986460447311401
allen-cahn, 5, 64, 4, 3, 0.015725137665867805, 0.6916225552558899
allen-cahn, 5, 64, 4, 4, 0.03236517310142517, 0.6161669492721558
allen-cahn, 5, 64, 4, 5, 0.022258367389440536, 0.7929629683494568
allen-cahn, 10, 2, 1, 1, 0.01910404860973358, 0.5366397500038147
allen-cahn, 10, 2, 1, 2, 0.022062569856643677, 0.5344530344009399
allen-cahn, 10, 2, 1, 3, 0.019343921914696693, 0.5503136515617371
allen-cahn, 10, 2, 1, 4, 0.016067136079072952, 0.5523660182952881
allen-cahn, 10, 2, 1, 5, 0.02521420270204544, 0.5222504138946533
allen-cahn, 10, 4, 1, 1, 0.03254949674010277, 0.8616344332695007
