method,pde,G,width,depth,pow_res,pow_basis,run,loss,l2
lecun_norm,ac,5,32,4,,,2,0.01416009478271,0.640396237373352
lecun_norm,ac,5,32,4,,,3,0.0142728397622704,0.5207444429397583
lecun_norm,ac,5,32,4,,,4,0.0195171609520912,0.5971090793609619
lecun_norm,ac,5,32,4,,,5,0.0174949392676353,0.5567998290061951
lecun_norm,ac,5,64,4,,,1,0.0346004962921142,0.4703158140182495
lecun_norm,ac,5,64,4,,,2,0.0286007672548294,0.5986460447311401
lecun_norm,ac,5,64,4,,,3,0.0157251376658678,0.6916225552558899
lecun_norm,ac,5,64,4,,,4,0.0323651731014251,0.6161669492721558
lecun_norm,ac,5,64,4,,,5,0.0222583673894405,0.7929629683494568
lecun_norm,ac,10,2,1,,,1,0.0191040486097335,0.5366397500038147
lecun_norm,ac,10,2,1,,,2,0.0220625698566436,0.5344530344009399
lecun_norm,ac,10,2,1,,,3,0.0193439219146966,0.5503136515617371
lecun_norm,ac,10,2,1,,,4,0.0160671360790729,0.5523660182952881
lecun_norm,ac,10,2,1,,,5,0.0252142027020454,0.5222504138946533
lecun_norm,ac,10,4,1,,,1,0.0325494967401027,0.8616344332695007
lecun_norm,ac,10,4,1,,,2,0.0188150405883789,0.6262902617454529
lecun_norm,ac,10,4,1,,,3,0.0190154332667589,0.6188427805900574
lecun_norm,ac,10,4,1,,,4,0.0161323472857475,0.5403510928153992
lecun_norm,ac,10,4,1,,,5,0.0164423882961273,0.558057427406311
lecun_norm,ac,10,8,1,,,1,0.0245808660984039,0.7448549866676331
lecun_norm,ac,10,8,1,,,2,0.0169241391122341,0.6083260774612427
lecun_norm,ac,10,8,1,,,3,0.0155334500595927,0.5584562420845032
lecun_norm,ac,10,8,1,,,4,0.0156194046139717,0.5424457788467407
lecun_norm,ac,10,8,1,,,5,0.0169172491878271,0.5526619553565979
lecun_norm,ac,10,16,1,,,1,0.0187464877963066,0.646140456199646
lecun_norm,ac,10,16,1,,,2,0.0159228220582008,0.5578282475471497
lecun_norm,ac,10,16,1,,,3,0.0165741257369518,0.5645070672035217
lecun_norm,ac,10,16,1,,,4,0.0198680087924003,0.672544538974762
lecun_norm,ac,10,16,1,,,5,0.0192142911255359,0.6748354434967041
lecun_norm,ac,10,32,1,,,1,0.0179031174629926,0.6657165884971619
lecun_norm,ac,10,32,1,,,2,0.0181432403624057,0.6289106011390686
lecun_norm,ac,10,32,1,,,3,0.0214163735508918,0.649125874042511
lecun_norm,ac,10,32,1,,,4,0.0223433412611484,0.6677865982055664
lecun_norm,ac,10,32,1,,,5,0.0191250853240489,0.6579459309577942
lecun_norm,ac,10,64,1,,,1,0.0340938493609428,0.7014002799987793
lecun_norm,ac,10,64,1,,,2,0.0210590697824955,0.6767475008964539
lecun_norm,ac,10,64,1,,,3,0.0336019769310951,0.7166033983230591
lecun_norm,ac,10,64,1,,,4,0.0276565812528133,0.7153046727180481
lecun_norm,ac,10,64,1,,,5,0.0352435819804668,0.7127568125724792
lecun_norm,ac,10,2,2,,,1,0.5220728516578674,0.8035758137702942
lecun_norm,ac,10,2,2,,,2,0.9933304786682128,1.0004905462265017
lecun_norm,ac,10,2,2,,,3,0.0147819416597485,0.5324182510375977
lecun_norm,ac,10,2,2,,,4,0.0152321178466081,0.5405615568161011
lecun_norm,ac,10,2,2,,,5,0.0154020423069596,0.5429275035858154
