pde, G, width, depth, run, loss, l2
allen-cahn, 10, 4, 3, 3, 0.014877024106681347, 0.5270012021064758
allen-cahn, 10, 4, 3, 4, 0.014733310788869858, 0.5120821595191956
allen-cahn, 10, 4, 3, 5, 0.008927046321332455, 0.9331684708595276
allen-cahn, 10, 8, 3, 1, 0.000633537769317627, 0.11088084429502487
allen-cahn, 10, 8, 3, 2, 0.0008124121814034879, 0.10482175648212433
allen-cahn, 10, 8, 3, 3, 0.0005754351150244474, 0.11609483510255814
allen-cahn, 10, 8, 3, 4, 0.0010710764909163117, 0.15454278886318207
allen-cahn, 10, 8, 3, 5, 0.014509867876768112, 0.5084457993507385
allen-cahn, 10, 16, 3, 1, 0.015013705007731915, 0.5102123022079468
allen-cahn, 10, 16, 3, 2, 0.014944976195693016, 0.5233221650123596
allen-cahn, 10, 16, 3, 3, 0.015254481695592403, 0.5352924466133118
allen-cahn, 10, 16, 3, 4, 0.01445803977549076, 0.5422569513320923
allen-cahn, 10, 16, 3, 5, 0.01459595374763012, 0.5109226703643799
allen-cahn, 10, 32, 3, 1, 0.013389836996793747, 0.4776642322540283
allen-cahn, 10, 32, 3, 2, 0.007883860729634762, 0.5424902439117432
allen-cahn, 10, 32, 3, 3, 0.0018844250589609146, 0.15895861387252808
allen-cahn, 10, 32, 3, 4, 0.3138340413570404, 0.7932581305503845
allen-cahn, 10, 32, 3, 5, 0.032876674085855484, 0.686496376991272
allen-cahn, 10, 64, 3, 1, 0.015438445843756199, 0.5855756402015686
allen-cahn, 10, 64, 3, 2, 0.02180762030184269, 0.6052100658416748
